Section,SOP Class Description,SOP Class UID,Name,Messages
B.5,12-lead ECG Waveform Storage,1.2.840.10008.5.1.4.1.1.9.1.1,STANDARD_WAVEFORM_12_LEAD_ECG,"C-STORE-RQ,C-STORE-RSP"
B.5,Acquisition Context SR Storage,1.2.840.10008.5.1.4.1.1.88.71,ACQUISITION_CONTEXT_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Ambulatory ECG Waveform Storage,1.2.840.10008.5.1.4.1.1.9.1.3,STANDARD_WAVEFORM_AMBULATORY_ECG,"C-STORE-RQ,C-STORE-RSP"
B.5,Arterial Pulse Waveform Storage,1.2.840.10008.5.1.4.1.1.9.5.1,ARTERIAL_PULSE_WAVEFORM,"C-STORE-RQ,C-STORE-RSP"
B.5,Autorefraction Measurements Storage,1.2.840.10008.5.1.4.1.1.78.2,AUTOREFRACTION_MEASUREMENTS,"C-STORE-RQ,C-STORE-RSP"
H.4.4.3,Basic Annotation Box SOP Class UID,1.2.840.10008.5.1.1.15,BASIC_ANNOTATION_BOX,"N-SET-RQ,N-SET-RSP"
H.4.3.2.3,Basic Color Image Box SOP Class UID,1.2.840.10008.5.1.1.4.1,BASIC_COLOR_IMAGE_BOX,"N-SET-RQ,N-SET-RSP"
H.4.2.3,Basic Film Box SOP Class UID,1.2.840.10008.5.1.1.2,BASIC_FILM_BOX,"N-CREATE-RQ,N-CREATE-RSP,N-SET-RQ,N-SET-RSP,N-DELETE-RQ,N-DELETE-RSP,N-ACTION-RQ,N-ACTION-RSP"
H.4.1.3,Basic Film Session SOP Class UID,1.2.840.10008.5.1.1.1,BASIC_FILM_SESSION,"N-CREATE-RQ,N-CREATE-RSP,N-SET-RQ,N-SET-RSP,N-DELETE-RQ,N-DELETE-RSP,N-ACTION-RQ,N-ACTION-RSP"
H.4.3.1.3,Basic Grayscale Image Box SOP Class UID,1.2.840.10008.5.1.1.4,BASIC_GRAYSCALE_IMAGE_BOX,"N-SET-RQ,N-SET-RSP"
B.5,Basic Structured Display Storage,1.2.840.10008.5.1.4.1.1.131,BASIC_STRUCTURED_DISPLAY,"C-STORE-RQ,C-STORE-RSP"
B.5,Basic Text SR Storage,1.2.840.10008.5.1.4.1.1.88.11,STANDARD_BASIC_TEXT_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Basic Voice Audio Waveform Storage,1.2.840.10008.5.1.4.1.1.9.4.1,STANDARD_WAVEFORM_BASIC_VOICE_AU,"C-STORE-RQ,C-STORE-RSP"
B.5,Blending Softcopy Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.4,STANDARD_BLENDING_SOFTCOPY_PS,"C-STORE-RQ,C-STORE-RSP"
Q.4.3.3,Breast Imaging Relevant Patient Information Query,1.2.840.10008.5.1.4.37.2,BREAST_IMAGING_RPI_QUERY,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
B.5,Breast Projection X-Ray Image Storage - For Presentation,1.2.840.10008.5.1.4.1.1.13.1.4,BREAST_PROJ_PRESENT,"C-STORE-RQ,C-STORE-RSP"
B.5,Breast Projection X-Ray Image Storage - For Processing,1.2.840.10008.5.1.4.1.1.13.1.5,BREAST_PROJ_PROCESS,"C-STORE-RQ,C-STORE-RSP"
B.5,Breast Tomosynthesis Image Storage,1.2.840.10008.5.1.4.1.1.13.1.3,BREAST_TOMO_IMAGE_STORAGE,"C-STORE-RQ,C-STORE-RSP"
GG.3,CT Defined Procedure Protocol Storage,1.2.840.10008.5.1.4.1.1.200.1,CT_DEFINED_PROCEDURE,"C-STORE-RQ,C-STORE-RSP"
B.5,CT Image Storage,1.2.840.10008.5.1.4.1.1.2,STANDARD_CT,"C-STORE-RQ,C-STORE-RSP"
B.5,CT Performed Procedure Protocol Storage,1.2.840.10008.5.1.4.1.1.200.2,CT_PERFORMED_PROCEDURE,"C-STORE-RQ,C-STORE-RSP"
B.5,Cardiac Electrophysiology Waveform Storage,1.2.840.10008.5.1.4.1.1.9.3.1,STANDARD_WAVEFORM_CARDIAC_EP,"C-STORE-RQ,C-STORE-RSP"
Q.4.3.3,Cardiac Relevant Patient Information Query,1.2.840.10008.5.1.4.37.3,CARDIAC_RPI_QUERY,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
B.5,Chest CAD SR Storage,1.2.840.10008.5.1.4.1.1.88.65,CHEST_CAD_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Colon CAD SR Storage,1.2.840.10008.5.1.4.1.1.88.69,COLON_CAD_SR,"C-STORE-RQ,C-STORE-RSP"
X.6.1.4,Color Palette Information Model - FIND,1.2.840.10008.5.1.4.39.2,COLOR_PALETTE_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
X.6.1.4,Color Palette Information Model - GET,1.2.840.10008.5.1.4.39.4,COLOR_PALETTE_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
X.6.1.4,Color Palette Information Model - MOVE,1.2.840.10008.5.1.4.39.3,COLOR_PALETTE_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
GG.3,Color Palette Storage,1.2.840.10008.5.1.4.39.1,COLOR_PALETTE_STORAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Color Softcopy Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.2,STANDARD_COLOR_SOFTCOPY_PS,"C-STORE-RQ,C-STORE-RSP"
Z.6.1.3,Composite Instance Retrieve Without Bulk Data - GET,1.2.840.10008.5.1.4.1.2.5.3,COMPOSITE_INST_RET_NO_BULK_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
Y.6.1.3,Composite Instance Root Retrieve - GET,1.2.840.10008.5.1.4.1.2.4.3,COMPOSITE_INSTANCE_ROOT_RET_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
